txn_id,customer_id,txn_date,txn_amount,txn_type,category,merchant_name
T00001,C0365,2025-04-18 09:19:36,8426.08,Credit,Travel,Swiggy
T00002,C0015,2025-01-31 13:51:43,3259.66,Debit,Food,Swiggy
T00003,C0347,2025-06-09 03:24:51,8647.3,Credit,Salary,Swiggy
T00004,C0101,2025-05-17 03:24:08,525.82,Debit,Travel,Flipkart
T00005,C0319,2025-01-16 11:38:45,8964.36,Debit,Food,Zomato
T00006,C0390,2025-06-29 17:54:11,1661.57,Credit,Shopping,Goldman Sachs
T00007,C0176,2025-04-24 10:17:54,7853.91,Credit,Food,Flipkart
T00008,C0222,2025-05-31 23:15:49,8421.69,Debit,Bills,Paytm
T00009,C0485,2025-01-18 02:59:56,9600.37,Credit,Travel,Paytm
T00010,C0099,2025-04-06 15:18:34,1368.88,Debit,Travel,Zomato
T00011,C0355,2025-06-28 01:52:11,3292.45,Credit,Shopping,Swiggy
T00012,C0070,2025-06-24 20:48:18,2387.12,Debit,Food,Amazon
T00013,C0374,2025-05-13 14:24:05,3699.24,Credit,Food,Swiggy
T00014,C0428,2025-04-23 09:30:19,5653.05,Debit,Bills,Zomato
T00015,C0106,2025-03-08 14:43:25,2116.6,Credit,Salary,Flipkart
T00016,C0451,2025-06-22 18:58:17,2262.09,Debit,Bills,Zomato
T00017,C0402,2025-01-10 17:46:00,821.96,Credit,Healthcare,Paytm
T00018,C0093,2025-03-13 06:30:01,7822.95,Credit,Bills,Zomato
T00019,C0389,2025-03-18 02:37:17,9198.11,Debit,Salary,Flipkart
T00020,C0409,2025-03-08 11:13:26,3929.62,Debit,Travel,Uber
T00021,C0105,2025-02-03 08:48:56,7962.1,Credit,Shopping,Zomato
T00022,C0067,2025-06-18 03:45:00,162.87,Credit,Healthcare,Zomato
T00023,C0015,2025-02-20 01:59:05,839.98,Credit,Food,Paytm
T00024,C0492,2025-05-02 08:44:30,7453.16,Credit,Shopping,Uber
T00025,C0144,2025-01-27 13:27:50,9360.26,Debit,Shopping,Amazon
T00026,C0267,2025-03-14 02:24:15,5735.37,Debit,Shopping,Amazon
T00027,C0181,2025-05-04 09:14:54,6664.0,Debit,Travel,Goldman Sachs
T00028,C0128,2025-03-14 03:37:12,8597.57,Debit,Salary,Uber
T00029,C0169,2025-04-09 12:51:20,9980.74,Debit,Travel,Paytm
T00030,C0371,2025-04-29 12:49:16,505.97,Credit,Salary,Uber
T00031,C0411,2025-03-29 08:17:46,3519.77,Debit,Shopping,Goldman Sachs
T00032,C0256,2025-04-13 16:05:02,7935.66,Credit,Travel,Paytm
T00033,C0404,2025-02-04 02:54:21,1937.42,Credit,Salary,Paytm
T00034,C0121,2025-03-23 04:40:49,7175.0,Debit,Bills,Flipkart
T00035,C0383,2025-02-14 10:40:25,4554.42,Credit,Salary,Uber
T00036,C0242,2025-02-20 14:23:25,8480.63,Credit,Salary,Zomato
T00037,C0493,2025-04-04 22:43:09,2513.31,Debit,Salary,Swiggy
T00038,C0071,2025-06-01 08:49:56,4379.53,Credit,Salary,Zomato
T00039,C0435,2025-01-27 09:54:06,1968.82,Debit,Healthcare,Uber
T00040,C0026,2025-03-18 08:35:03,8959.21,Credit,Healthcare,Uber
T00041,C0478,2025-03-03 06:38:04,7015.85,Debit,Shopping,Zomato
T00042,C0400,2025-05-13 16:39:32,3011.61,Debit,Travel,Flipkart
T00043,C0074,2025-02-21 15:13:37,2226.96,Credit,Travel,Amazon
T00044,C0246,2025-04-16 05:45:12,7004.91,Debit,Food,Paytm
T00045,C0402,2025-03-14 02:19:07,7365.84,Debit,Food,Uber
T00046,C0416,2025-01-12 09:44:46,6752.7,Debit,Shopping,Amazon
T00047,C0499,2025-03-09 18:32:11,9338.02,Debit,Healthcare,Zomato
T00048,C0464,2025-07-06 19:13:15,4369.9,Credit,Shopping,Goldman Sachs
T00049,C0327,2025-05-11 15:40:47,6832.25,Credit,Travel,Goldman Sachs
T00050,C0004,2025-01-26 15:22:17,7304.9,Credit,Shopping,Flipkart
T00051,C0389,2025-05-23 21:14:12,7036.86,Credit,Food,Goldman Sachs
T00052,C0442,2025-06-24 11:04:44,4003.07,Debit,Travel,Uber
T00053,C0334,2025-04-22 05:40:45,5052.76,Debit,Salary,Paytm
T00054,C0306,2025-06-09 01:44:46,2322.4,Credit,Bills,Goldman Sachs
T00055,C0010,2025-07-08 02:39:01,152.91,Credit,Healthcare,Amazon
T00056,C0185,2025-07-10 22:16:58,4730.25,Credit,Salary,Uber
T00057,C0094,2025-02-16 14:56:01,1723.2,Debit,Food,Swiggy
T00058,C0303,2025-02-16 00:06:41,7283.91,Debit,Healthcare,Swiggy
T00059,C0037,2025-05-27 11:32:09,736.12,Debit,Healthcare,Flipkart
T00060,C0113,2025-05-12 18:47:06,8496.27,Credit,Food,Uber
T00061,C0109,2025-05-26 02:56:18,877.38,Debit,Shopping,Flipkart
T00062,C0392,2025-02-01 18:29:30,4689.22,Credit,Shopping,Paytm
T00063,C0391,2025-04-03 13:10:15,3789.91,Credit,Shopping,Goldman Sachs
T00064,C0020,2025-06-12 09:49:47,5665.05,Credit,Bills,Amazon
T00065,C0465,2025-07-10 02:22:36,1262.47,Debit,Shopping,Goldman Sachs
T00066,C0373,2025-04-30 22:04:45,5340.03,Debit,Healthcare,Zomato
T00067,C0200,2025-02-10 09:34:48,8258.47,Debit,Healthcare,Zomato
T00068,C0446,2025-02-11 09:25:56,970.12,Debit,Bills,Uber
T00069,C0427,2025-05-25 10:05:41,8598.75,Debit,Bills,Flipkart
T00070,C0489,2025-05-10 21:43:49,7105.63,Credit,Bills,Amazon
T00071,C0016,2025-06-03 01:42:31,3210.72,Debit,Healthcare,Zomato
T00072,C0002,2025-05-18 09:22:52,7486.89,Credit,Salary,Swiggy
T00073,C0067,2025-04-13 06:33:26,5065.66,Debit,Salary,Paytm
T00074,C0008,2025-01-21 22:53:04,5678.89,Credit,Shopping,Zomato
T00075,C0195,2025-02-27 17:43:48,8225.69,Debit,Travel,Flipkart
T00076,C0084,2025-05-06 20:00:56,2870.97,Debit,Food,Swiggy
T00077,C0122,2025-02-16 09:35:07,3005.51,Debit,Healthcare,Paytm
T00078,C0470,2025-03-11 04:24:08,5931.99,Debit,Shopping,Amazon
T00079,C0003,2025-01-21 12:59:58,118.81,Credit,Salary,Flipkart
T00080,C0415,2025-07-03 14:18:44,3110.31,Credit,Healthcare,Goldman Sachs
T00081,C0061,2025-04-18 23:46:33,3245.26,Debit,Bills,Uber
T00082,C0436,2025-02-27 23:03:42,9209.37,Debit,Travel,Flipkart
T00083,C0430,2025-02-26 07:15:44,535.94,Debit,Shopping,Swiggy
T00084,C0385,2025-01-31 19:27:15,8809.09,Debit,Shopping,Paytm
T00085,C0385,2025-03-31 22:22:28,8942.03,Debit,Salary,Goldman Sachs
T00086,C0328,2025-01-29 05:17:29,9068.01,Credit,Shopping,Uber
T00087,C0328,2025-04-14 18:14:40,4502.94,Credit,Food,Goldman Sachs
T00088,C0227,2025-05-16 17:15:30,1230.1,Debit,Bills,Swiggy
T00089,C0498,2025-04-06 06:47:14,2704.62,Credit,Salary,Goldman Sachs
T00090,C0284,2025-07-03 18:02:17,3850.69,Credit,Shopping,Goldman Sachs
T00091,C0407,2025-04-04 03:03:02,8216.27,Credit,Healthcare,Amazon
T00092,C0203,2025-04-03 04:30:20,6448.6,Credit,Healthcare,Zomato
T00093,C0339,2025-05-15 08:16:52,4626.81,Debit,Salary,Uber
T00094,C0343,2025-06-25 06:03:34,3467.14,Debit,Bills,Paytm
T00095,C0273,2025-04-27 08:03:16,6404.19,Credit,Bills,Flipkart
T00096,C0471,2025-04-19 14:12:16,8894.93,Debit,Travel,Uber
T00097,C0008,2025-06-29 14:39:19,1908.28,Credit,Bills,Uber
T00098,C0003,2025-05-07 16:38:40,3801.87,Debit,Healthcare,Amazon
T00099,C0134,2025-05-10 22:07:02,7596.88,Credit,Salary,Uber
T00100,C0224,2025-04-22 13:27:59,6969.32,Credit,Bills,Uber
T00101,C0293,2025-02-07 11:30:47,6544.83,Debit,Travel,Paytm
